              latlon ;city
-122.4826,47.20629; Tacoma
-122.482,37.7018; Daly City
-122.4804,37.85464; Sausalito
-122.4785,48.74934; Bellingham
-122.478,45.59668; Camas
-122.4778,37.78021; San Francisco
-122.4771,37.7635; San Francisco
-122.477,47.1791; Lakewood
-122.4765,47.23714; Tacoma
-122.476,37.66049; Pacifica
-122.476,45.61844; Vancouver
-122.4756,37.72785; San Francisco
-122.4755,45.48958; Gresham
-122.4736,47.25538; Tacoma
-122.4708,37.7017; Daly City
-122.4703,37.674; Daly City
-122.47,47.22248; Tacoma
-122.4691,37.71071; San Francisco
-122.4687,37.6679; Daly City
-122.4677,47.21803; Tacoma
-122.4674,37.6996; Daly City
-122.4671,37.73966; San Francisco
-122.466,37.78472; San Francisco
-122.4658,37.76406; San Francisco
-122.4645,48.74476; Bellingham
-122.4638,47.27476; Tacoma
-122.4589,48.77243; Bellingham
-122.4582,47.19193; Tacoma
-122.456,37.76391; San Francisco
-122.4532,37.78643; San Francisco
-122.4529,37.74455; San Francisco
-122.4508,47.22311; Tacoma
-122.4413,48.77073; Bellingham
-122.441,45.50452; Gresham
-122.4399,37.7857; San Francisco
-122.4384,37.80054; San Francisco
-122.4384,47.25327; Tacoma
-122.4379,37.74367; San Francisco
-122.4379,47.24902; Tacoma
-122.437,47.24619; Tacoma
-122.4349,37.76074; San Francisco
-122.4348,47.11377; Tacoma
-122.4348,47.1196; Tacoma
-122.4346,47.14091; Tacoma
-122.434,37.78996; San Francisco
-122.4336,37.4684; Half Moon Bay
-122.4336,37.80436; San Francisco
-122.4327,37.78328; San Francisco
-122.4317,37.75129; San Francisco
-122.4305,37.79771; San Francisco
-122.4271,37.76881; San Francisco
-122.4222,37.78993; San Francisco
-122.4219,37.78847; San Francisco
-122.4218,37.79657; San Francisco
-122.4214,37.63717; San Bruno
-122.4209,37.63629; San Bruno
-122.4201,37.8067; San Francisco
-122.4198,37.6354; San Bruno
-122.4175,37.77642; San Francisco
-122.4171,37.80711; San Francisco
-122.4168,45.50494; Gresham
-122.4139,45.5017; Gresham
-122.413,37.77488; San Francisco
-122.4117,37.78115; San Francisco
-122.4117,45.52788; Troutdale
-122.4111,37.62463; San Bruno
-122.4109,47.579; Seattle
-122.4107,37.65523; South San Francisco
-122.4105,37.78702; San Francisco
-122.4104,37.76288; San Francisco
-122.4093,37.78546; San Francisco
-122.409,37.76554; San Francisco
-122.408,37.78392; San Francisco
-122.408,45.4962; Gresham
-122.4079,37.78641; San Francisco
-122.4073,47.19178; Tacoma
-122.4068,37.78931; San Francisco
-122.4054,37.79025; San Francisco
-122.4044,37.78638; San Francisco
-122.4039,37.7842; San Francisco
-122.4034,37.79274; San Francisco
-122.4028,37.80135; San Francisco
-122.4025,37.76534; San Francisco
-122.4024,37.79476; San Francisco
-122.4022,37.65317; South San Francisco
-122.402,37.78941; San Francisco
-122.402,37.7914; San Francisco
-122.4019,37.80281; San Francisco
-122.4014,37.79491; San Francisco
-122.4011,37.78891; San Francisco
-122.4009,37.79766; San Francisco
-122.4008,37.78769; San Francisco
-122.4007,37.79019; San Francisco
-122.4004,37.7954; San Francisco
-122.4003,37.78495; San Francisco
-122.4003,45.51908; Wood Village
-122.3997,37.7932; San Francisco
-122.3996,37.79241; San Francisco
-122.399,37.79103; San Francisco
-122.3982,37.7918; San Francisco
-122.3982,37.7971; San Francisco
-122.3976,37.79224; San Francisco
-122.3967,37.78553; San Francisco
-122.3962,37.7935; San Francisco
-122.396,37.79081; San Francisco
-122.3951,37.78922; San Francisco
-122.3941,37.7923; San Francisco
-122.3938,37.60265; Millbrae
-122.3937,37.77676; San Francisco
-122.3935,37.79457; San Francisco
-122.3924,37.79131; San Francisco
-122.3923,40.58758; Redding
-122.3888,45.51901; Troutdale
-122.3886,37.78942; San Francisco
-122.387,47.54474; Seattle
-122.3864,47.58073; Seattle
-122.3852,37.596; Burlingame
-122.385,37.92625; Point Richmond
-122.3848,47.66868; Seattle
-122.3837,47.58113; Seattle
-122.3834,40.57525; Redding
-122.378,47.64848; Seattle
-122.3768,47.68946; Seattle
-122.3743,47.66867; Seattle
-122.3714,47.62903; Seattle
-122.3708,40.61071; Redding
-122.3703,47.6606; Seattle
-122.3685,47.51722; Seattle
-122.367,47.79123; Edmonds
-122.3654,47.24313; Fife
-122.3652,47.5211; Seattle
-122.3649,37.58595; Burlingame
-122.3646,47.76515; Seattle
-122.3645,47.52245; Seattle
-122.3622,47.70154; Seattle
-122.3608,47.29885; Federal Way
-122.3575,40.58638; Redding
-122.3574,48.24195; Stanwood
-122.3572,47.15073; Puyallup
-122.3571,47.15562; Puyallup
-122.357,47.63763; Seattle
-122.3566,47.62235; Seattle
-122.3558,47.3227; Federal Way
-122.3553,47.6236; Seattle
-122.3523,40.57091; Redding
-122.3498,47.64972; Seattle
-122.3484,47.62201; Seattle
-122.3477,47.61074; Seattle
-122.3467,47.61352; Seattle
-122.3464,47.76121; Shoreline
-122.346,37.5792; Burlingame
-122.3458,47.622; Seattle
-122.3453,47.74066; Seattle
-122.3449,47.72346; Seattle
-122.3447,47.61848; Seattle
-122.3446,47.70289; Seattle
-122.3429,47.61255; Seattle
-122.3429,47.77771; Seattle
-122.3425,47.78482; Edmonds
-122.3423,47.62993; Seattle
-122.3422,47.60975; Seattle
-122.3413,47.61382; Seattle
-122.341,47.6299; Seattle
-122.3404,48.46443; Burlington
-122.3391,47.60446; Seattle
-122.3386,47.60932; Seattle
-122.3374,37.52011; San Mateo
-122.3374,47.61123; Seattle
-122.3371,47.60723; Seattle
-122.3369,47.61357; Seattle
-122.3366,47.61013; Seattle
-122.3366,48.43586; Mount Vernon
-122.3363,47.6117; Seattle
-122.3362,37.9738; Richmond
-122.3359,48.46577; Burlington
-122.3354,47.61205; Seattle
-122.3351,47.58178; Seattle
-122.3351,47.60515; Seattle
-122.3351,47.60843; Seattle
-122.335,47.60338; Seattle
-122.3349,47.61312; Seattle
-122.3347,47.60639; Seattle
-122.3347,47.60985; Seattle
-122.3344,45.57793; Washougal
-122.3342,47.44284; Normandy Park
-122.3341,47.47056; Burien
-122.3341,47.58557; Seattle
-122.3339,37.57984; San Mateo
-122.3339,47.46106; Burien
-122.3339,47.60168; Seattle
-122.3339,47.6055; Seattle
-122.3337,47.60693; Seattle
-122.3336,47.66138; Seattle
-122.3335,47.61172; Seattle
-122.333,47.70864; Seattle
-122.3328,47.59914; Seattle
-122.3328,47.60904; Seattle
-122.3322,47.60205; Seattle
-122.3318,47.61082; Seattle
-122.3308,47.80078; Edmonds
-122.3304,48.23837; Stanwood
-122.3303,47.6169; Seattle
-122.3301,48.42112; Mount Vernon
-122.3299,47.61623; Seattle
-122.3298,47.60437; Seattle
-122.3279,47.59814; Seattle
-122.3259,47.64083; Seattle
-122.3259,47.70864; Seattle
-122.3257,47.67981; Seattle
-122.3256,37.53298; San Mateo
-122.3253,47.80833; Lynnwood
-122.3252,47.60929; Seattle
-122.3252,47.6188; Seattle
-122.3242,37.56285; San Mateo
-122.3229,47.61024; Seattle
-122.3222,47.7086; Seattle
-122.3211,47.54836; Seattle
-122.321,37.92886; El Cerrito
-122.3208,47.62237; Seattle
-122.3207,47.61289; Seattle
-122.3178,47.70939; Seattle
-122.3174,47.67508; Seattle
-122.3167,47.6092; Seattle
-122.3166,47.31515; Federal Way
-122.3141,37.55221; San Mateo
-122.3137,47.61994; Seattle
-122.3132,47.32409; Federal Way
-122.3132,47.65753; Seattle
-122.3131,47.66229; Seattle
-122.3127,47.62121; Seattle
-122.3127,47.73321; Seattle
-122.3105,47.7753; Shoreline
-122.3098,47.6517; Seattle
-122.3085,47.35947; Des Moines
-122.308,47.31951; Federal Way
-122.3079,37.88531; Albany
-122.3076,37.99083; Pinole
-122.3072,38.32153; Napa
-122.3032,37.99159; Pinole
-122.3022,37.83719; Emeryville
-122.3022,38.30721; Napa
-122.3018,37.89908; El Cerrito
-122.3017,47.6643; Seattle
-122.3006,38.3227; Napa
-122.3003,37.5373; San Mateo
-122.2996,47.6664; Seattle
-122.2992,47.46395; Seattle
-122.2988,47.5792; Seattle
-122.2963,47.42266; Des Moines
-122.2962,47.05312; Graham
-122.2959,47.25001; Milton
-122.2952,37.97813; El Sobrante
-122.2952,47.39163; Kent
-122.2948,47.3937; Des Moines
-122.2938,47.20049; Puyallup
-122.2937,37.5106; Belmont
-122.2936,47.09843; Puyallup
-122.2936,47.16585; Puyallup
-122.2931,47.90508; Mukilteo
-122.293,47.13563; Puyallup
-122.293,47.15666; Puyallup
-122.2929,47.15349; Puyallup
-122.2924,47.82012; Lynnwood
